,user_id,position,career,updated_at,want_to_be,desired_role,benefits_in_companies,name,type,my_languages_,level_languages_,my_languages_1,level_languages_1,my_languages_2,level_languages_2,benefits_in_companies_1,benefits_in_companies_2,benefits_in_companies_3
14,28053,analista de reclutamiento y seleccion,psicologia,2023-09-01 12:07:06,employment,analista de selección y reclutamiento,prepaid_medicine,base de datos,my_knowledge,ES,advanced,EN,basic,not,basic,scholarships,flexible_schedules,study_opportunities
15,97810,interventor analista de ingeniería,gerencia de proyectos de telecomunicaciones,2023-09-01 13:06:16,employment,analista de datos / gobierno y gestión ti,flexible_schedules,planeación estratégica,my_knowledge,EN,basic,not,basic,not,basic,bonuses,travels,salary_increase
16,66690,none,comunicación social y periodismo,2021-03-04 13:06:33,employment,data scientist,events,toma de decisiones,my_knowledge,not,basic,not,basic,not,basic,distraction_spaces,child_care,flexible_schedules
17,93679,auxiliar gestión humana,tecnóloga en gestión humana,2023-09-01 13:04:48,employment,analista de datos / gobierno y gestión ti,study_opportunities,recursos humanos,my_knowledge,not,basic,not,basic,not,basic,laboral_training,personal_recognition,scholarships
18,1960797,desempleado,ingenieria en electrónica y telecomunicaciones,2023-09-01 13:36:18,employment,senior o lead data engineer,study_opportunities,matemáticas,my_knowledge,EN,basic,not,basic,not,basic,prepaid_medicine,salary_increase,distraction_spaces
19,92340,analista de procesos,ingeniería industrial,2023-09-01 13:04:24,employment,el asignado,bonuses,optimización de procesos,my_knowledge,EN,intermediate,not,basic,not,basic,study_opportunities,flexible_schedules,parties_for_employees
20,62100,none,ingenieria mecatrónica,2023-09-01 12:42:50,employment,data scientist,study_opportunities,java,my_knowledge,EN,advanced,not,basic,not,basic,laboral_training,child_care,flexible_schedules
21,178699,ingeniero de investigación y desarrollo,ingeniero electrónico,2023-09-01 13:22:30,employment,data engineer / data scientist,study_opportunities,conocimiento de redes,my_knowledge,EN,intermediate,not,basic,not,basic,flexible_schedules,scholarships,prepaid_medicine
22,35547,none,ingeniero en sistemas,2023-09-01 12:10:36,entrepreneur,"soporte y asesor informatico, diseñador web.",study_opportunities,tecnología,my_knowledge,not,basic,not,basic,not,basic,prepaid_medicine,child_care,flexible_schedules
23,66749,none,comunicación social y periodismo,2021-03-04 13:06:38,employment,data scientist,events,resolución de conflictos,my_knowledge,not,basic,not,basic,not,basic,distraction_spaces,child_care,flexible_schedules
24,1951247,monitor de apoyo a formación virtual,análisis y desarrollo de software,2023-09-01 13:23:52,employment,qa tester,study_opportunities,desarrollo de software,my_knowledge,EN,intermediate,DE,basic,not,basic,laboral_training,formation,flexible_schedules
25,120734,docente de biología,biología,2023-09-01 13:11:18,practice,"desarrollador backend, fullstack, lider tecnico",study_opportunities,desarrollo de software,my_knowledge,ES,advanced,not,basic,not,basic,prepaid_medicine,flexible_schedules,salary_increase
26,94923,none,administracion de negocios internacionales,2023-09-01 13:05:17,first_job,analista de datos / gobierno y gestión ti,study_opportunities,reactjs,my_knowledge,EN,intermediate,not,basic,not,basic,flexible_schedules,laboral_training,formation
27,62843,auxiliar de obra,ingenieria civil,2023-09-01 12:45:49,practice,data scientist,study_opportunities,construcción,my_knowledge,EN,basic,not,basic,not,basic,home_office,distraction_spaces,laboral_training
28,94511,none,diseño gráfico,2023-09-01 13:05:03,employment,analista de datos / gobierno y gestión ti,study_opportunities,marketing,my_knowledge,EN,intermediate,not,basic,not,basic,study_opportunities,"[""a""]",scholarships
29,49777,none,ingeniería eelctrónica,2023-09-01 12:31:53,entrepreneur,"soporte y asesor informatico, diseñador web.",study_opportunities,sistemas solares fotovoltaicos,my_knowledge,EN,intermediate,not,basic,not,basic,scholarships,home_office,distraction_spaces
30,48659,none,ingeniería en sistemas computacionales,2023-09-01 12:31:36,freelancer,"soporte y asesor informatico, diseñador web.",bonuses,programación páginas web,my_knowledge,EN,intermediate,not,basic,not,basic,study_opportunities,flexible_schedules,agreements
31,155615,auxiliar contable,administración de empresas,2023-09-01 13:19:35,employment,data engineer / data scientist,study_opportunities,contabilidad,my_knowledge,"[['not', 'basic']]","[['not', 'basic']]",not,basic,not,basic,flexible_schedules,scholarships,personal_recognition
32,1964419,desempleado,"audiovisuales, programación",2023-09-01 13:37:14,employment,*,study_opportunities,música,my_knowledge,EN,intermediate,not,basic,not,basic,child_care,free_time,travels
33,96327,none,tecnico laboral en sistemas y redes,2023-09-01 13:05:43,employment,analista de datos / gobierno y gestión ti,study_opportunities,soporte técnico,my_knowledge,ES,advanced,not,basic,not,basic,scholarships,distraction_spaces,laboral_training
34,1901,consultor,"1) bioingeniería, 2) maestría gestión ctei, 3) candidato master big data & ba",2023-09-01 11:48:45,employment,"soporte y asesor informatico, diseñador web.",bonuses,lenguajes de programación,my_knowledge,EN,intermediate,FR,basic,not,basic,study_opportunities,flexible_schedules,flexible_schedules
